Organization,Feedback Content,Feedback Link,Page,Feedback reference,Submitted on,Submitted by,User type,Organisation,Organisation size,Transparency register number,Country of origin,Initiative,Additional Message
Consumer Technology Association (United States),CTA's comments are in the attached file.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551055_en,0,F551055,10 September 2020,Douglas Johnson,Business association,Consumer Technology Association,Medium (50 to 249 employees),,United States,Artificial intelligence – ethical and legal requirements,CTA's comments are in the attached file.
Center for Democracy & Technology (United States),CDT welcomes the opportunity to provide input to the Commission's choice of regulatory approaches for artificial intelligence. We respectfully offer the following suggestions: 1) Be more precise: No single approach to regulating “AI” will make sense in all scenarios. Instead the commission should start by clearly identifying potential or existing harms and work backward to identify the most effective points to apply legislative or regulatory...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551054_en,0,F551054,10 September 2020,Stan Adams,Non-governmental organisation (NGO),Center for Democracy & Technology,Small (10 to 49 employees),,United States,Artificial intelligence – ethical and legal requirements,"CDT welcomes the opportunity to provide input to the Commission's choice of regulatory approaches for artificial intelligence. We respectfully offer the following suggestions:
1) Be more precise: No single approach to regulating “AI” will make sense in all scenarios. Instead the commission should start by clearly identifying potential or existing harms and work backward to identify the most effective points to apply legislative or regulatory solutions. After identifying and articulating these harms and appropriate points of intervention, the Commission should consider how to measure their likelihood of occurrence for clearly articulated use cases of well-defined types of applications. This assessment will help distinguish and prioritise which use cases should be further addressed through rules and regulations according to their relative urgency. 

Although we support the idea that some applications pose higher risks of harm than others, we urge the Commission to invest further effort in articulating which use cases of which applications it seeks to include if it chooses regulatory approaches targeting “high risk” applications. This additional clarity will help provide greater certainty for potentially impacted entities and will help guide regulators and other stakeholders as they develop and assess concrete regulatory proposals. We are doubtful, even with a narrowly drawn scope for “high risk” applications, that a single legislative instrument could effectively address the range of harms presented by the diverse array of applications and their use cases. As an alternative, we suggest that regulatory approaches might be more effective if they are geared towards preventing common harms, rather than aimed at governing classes of applications. We suggest that, through a harms-based approach, much of the EU’s existing law could be brought to bear through clarification rather than through development of new rules.

2) Clarify where existing law applies and identify gaps: Many harms have already been addressed through legislation. Clarifying existing law for novel applications should be step one, and we support the Commission’s intent to apply current law in its efforts to address risks posed by AI applications. Before pursuing additional legislative instruments, we suggest that the Commission and relevant regulatory bodies should make a coordinated effort to assess which parts of existing law might be used to address risks posed by AI applications. 

For example, in our response to the Commission’s AI Whitepaper consultation, we suggest that remote biometric surveillance is likely prohibited in most cases because it cannot be justified under Art. 9 GDPR and conflicts with both the European Convention on Human Rights and the Charter of Fundamental Rights. Similarly, the Employment Equality Directive should apply whether or not employers use algorithmic tools, but the Commission may wish to clarify employers’ obligations such as how they can satisfy their burdens of proof when using algorithmic application processing systems.

After mapping existing laws onto the use of AI applications, the Commission can then better identify any gaps in the law or areas for which novel legislative solutions may be necessary. We suggest that this effort should take place before moving forward with a new legislative instrument to help avoid redundancies, confusion, and uncertainty.

3) Refine existing soft-law approaches: CDT generally supports a combination of clarifying and enforcing existing law alongside voluntary adherence to principles expressed in soft law documents such as the findings of the High Level Expert Group on AI. As with our suggestions for the clarification and application of existing law, we believe that the principles expressed in various soft law documents would benefit from refinement through their application to concretely defined use cases of applications."
ETNO - European Telecommunications Network Operators' Association (Belgium),"ETNO welcomes the Commission’s objective to foster the uptake of Artificial Intelligence technologies and products that abide by European ethical norms, legal requirements, and fundamental rights. Today, no specific EU legal framework to regulate AI exists. The development, deployment and use of AI are subject to a range of horizontal laws and principles such as on data protection and privacy, consumer protection, product safety and...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551053_en,0,F551053,10 September 2020,Paolo Grassia,Business association,ETNO - European Telecommunications Network Operators' Association,Micro (1 to 9 employees),08957111909-85,Belgium,Artificial intelligence – ethical and legal requirements,"ETNO welcomes the Commission’s objective to foster the uptake of Artificial Intelligence
technologies and products that abide by European ethical norms, legal requirements, and fundamental rights.

Today, no specific EU legal framework to regulate AI exists. The development, deployment and use of AI are subject to a range of horizontal laws and principles such as on data protection and privacy, consumer protection, product safety and liability.

We agree that the goals of the legal act should be to pursue a harmonised approach to Trustworthy AI applications, bolstering the EU’s capacity to innovate and remain competitive with other regions of the world. Divergent national requirements that raise barriers to the development and the uptake of AI technology across the single market should be avoided.

We encourage the Commission to examine the existing regulatory framework and assess whether adjustments are necessary to address the emerging risks posed by AI. We agree that several risks examined in the IIA are not necessarily specific to AI and new measures should be embedded in the broader framework. A new instrument could provide additional safeguards and clarifications necessary for a truly safe and lawful AI that respects fundamental rights.

Considering the above, ETNO would support a proportionate combination of soft law, e.g. a voluntary labelling scheme, and mandatory requirements that were guided by a risk-based approach (Option 4). Our views on the various options comprised in this mix are described as follows.

A soft law approach that enable industry initiatives through additional accountability and coordination (Option 1) should be preferred wherever possible, to build on the existing efforts already deployed by public and private organisations and make them more effective.

A voluntary labelling scheme (Option 2) could encourage the uptake of Trustworthy AI. Criteria underpinning the labels could relate to e.g. transparency, robustness, and human oversight. They must be meaningful to users, while avoiding excessive burden on businesses to not discourage adoption of labels. However, it is crucial to clearly define their assignment mechanism, and the role and the authority of testing centres. Governance and enforcement are key to ensuring that a single scheme is implemented across the EU and that labels are valued in the market.

Finally, we suggest examining existing regulation and whether adjustments are necessary, before introducing additional legislation. Any new legislative instrument establishing mandatory requirements should particularly be targeted to “high-risk” AI applications (Option 3b), avoid a sweeping regulatory intervention as in Option 3c, and build on the principles and criteria developed for the voluntary labelling scheme in order to ensure consistency.

To define the scope of mandatory requirements, we agree with the cumulative criteria of high-risk sectors and high-risk applications of AI in those sectors as suggested in the White Paper, with some adjustments and clarifications that consider the impact on the whole AI value chain. For our detailed views on the identification of high-risk AI, as well as on the requirements that could be set out in the legal act, we refer to ETNO’s position paper on the White Paper.

Enforcement mechanisms are key to ensure effective compliance with the various voluntary and mandatory provisions. We envisage a flexible and open EU governance structure, which delegate enforcement responsibilities to Member States. 

Lastly, we concur that a robust definition of AI is the key to an enabling framework that build legal certainty. We recommend to carefully delineate its perimeter, drawing from the definition rendered by the High-Level Expert Group in its Ethics Guidelines for Trustworthy AI."
EuroCommerce (Belgium),"Artificial Intelligence (AI) can offer significant benefits not just to businesses, but also to consumers and society. Retailers and wholesalers are central actors in the supply chain and are in daily contact with Europe’s 450 million consumers. Many retailers and wholesalers use and develop Artificial Intelligence applications to operate sophisticated and efficient systems ensuring reliable and safe sourcing and distribution of goods to meet...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551052_en,0,F551052,10 September 2020,Ena Salihovic,Business association,EuroCommerce,Small (10 to 49 employees),,Belgium,Artificial intelligence – ethical and legal requirements,"Artificial Intelligence (AI) can offer significant benefits not just to businesses, but also to consumers and society. Retailers and wholesalers are central actors in the supply chain and are in daily contact with Europe’s 450 million consumers. Many retailers and wholesalers use and develop Artificial Intelligence applications to operate sophisticated and efficient systems ensuring reliable and safe sourcing and distribution of goods to meet consumers’ demand and keep them safe. In most cases, AI applications used by retailers and wholesalers carry no direct impact or risks for individuals but improve shopping experiences and internal efficiencies.

EuroCommerce welcomes the opportunity to provide input to the Commission’s Inception Impact Assessment for the upcoming legislative framework on AI. We believe that the combination of set objectives in the Option 1 and Option 3.b are the best to support and foster further AI developments in the EU.

To secure a future-proof framework that will support an innovative and competitive retail and wholesale sector, EuroCommerce believes that:
• Having a positive narrative towards AI technologies is a prerequisite to unlock Europe’s tech sovereignty. 
• The future European framework for AI should be technology-neutral and focus more on achieving desirable outcomes rather than regulating AI tools, as it is already the case with existing legislation such as the General Data Protection Regulation. 
• The future EU framework for AI should support the digital development of SMEs. SMEs need to be supported in their digital transformation and provided with the right set of digital skills and training that will help them responsibly use the potentials offered by AI. 
• The future European framework for AI should rely on a simple, narrow, clear, and harmonised definition of ‘Artificial Intelligence’.
• The use of already existing AI applications should not be disrupted.
• Careful attention should be paid to avoid overregulation – especially considering recently adopted EU and national legislation, support the use of existing AI technologies and bolster innovation.
• Regulatory sandboxes for testing high-risk AI solutions could potentially enable businesses of all sizes to explore the potential of Artificial Intelligence.
• The European Commission’s priority should be to work towards a global framework that would secure a level-playing field beyond EU borders.
• Competition coming from outside the EU should not be ignored.
• B2B data sharing for the purpose of AI development should remain on a voluntary basis.
• Investing in skills, digital education and research should be a priority of the EU institutions. 

Please find attached more detailed input to the roadmap on Artificial Intelligence – ethical and legal requirements."
Slovak Alliance for Innovation Economy (Slovakia),"Smart government approaches to regulation will play an important role in boosting public confidence and ensuring that AI is used responsibly, while also encouraging innovation. However, it is important that a proportionate, risk-based approach is taken - balancing potential harms with the social and economic benefits that will be created by AI. In the following points we are providing our feedback to the policy options presented and share our...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551051_en,0,F551051,10 September 2020,Michal Kardos,Business association,Slovak Alliance for Innovation Economy,Micro (1 to 9 employees),,Slovakia,Artificial intelligence – ethical and legal requirements,"Smart government approaches to regulation will play an important role in boosting public confidence and ensuring that AI is used responsibly, while also encouraging innovation. However, it is important that a proportionate, risk-based approach is taken - balancing potential harms with the social and economic benefits that will be created by AI. In the following points we are providing our feedback to the policy options presented and share our comments on additional points of concern raised by the Commission's initiative.
Policy options:
No EU policy change
We welcome smart approach on setting up rules for AI. However, it is imperative to maintain clear focus in delivering EU policy change while acknowledging a number of already existing rules, including GDPR, medical devices regulation, and fundamental rights aquis. New prescriptive rules should only be considered in the areas where existing regulation is clearly insufficient.
Option 1: EU “soft law”
We are certain that the European AI industry would benefit greatly from the European Commission providing us with guiding principles for self-regulation and co-regulation, as they would play an important role helping European businesses to develop advanced technologies responsibly. We would expect this kind of support from the European Commission even if other policy options are pursued by the Union.
Option 2: EU legislative instrument setting up a voluntary labelling scheme
We are concerned that even a voluntary labelling scheme is likely to create a heavy administrative burden for AI innovators that are often SMEs with limited resources. As a result, the costs of such a scheme could quickly outweigh the benefits of encouraging uptake of AI across Europe. We would especially like to caution basing a labeling scheme on the Assessment List for Trustworthy AI from the EU High-Level Expert Group on AI as its nature inherently limits variation across settings for different cases of application. Just as in Option 1, we would encourage the Commission to work closely with the AI industry to develop a menu of labeling schemes for different AI application settings.
Option 3: EU legislative instrument establishing mandatory requirements for all or certain types of AI applications
We strongly encourage the Commission to factor in the opportunity cost of not using AI when considering any regulatory intervention into AI applications. In deliberating possible options it’s vital to reflect not only potential harms but also societal opportunities. The benefits of AI will often outweigh the risks, especially if risks can be mitigated in a thoughtful way with strong safeguards. Regulation must not discourage AI innovation, development, nor limit its use. Proportionality and clear focus of any regulation will help ensure legal certainty for AI innovators and increase trust in AI without unduly hindering AI-driven innovation.
On the enforcement mechanisms:
We believe a combination of ex-ante risk self-assessment and ex-post enforcement for high risk AI applications would likely achieve desired results within much faster timeframes and without risking unduly stopping innovation and creating unnecessary burdens. We strongly support building on existing industry practices, including ethical, legal and due diligence practices that guide the responsible and trustworthy development of AI. Furthermore, it would be most practical if regulators were to provide clear “due diligence” guidance for quality self-assessment procedures. We also would discourage relying on third party ex-ante assessments as such approach would subject commercial secrets to external exposure risks and due to lack of familiarity could easily misinterpret aspects of an AI system.

For more details please see the attached file. Thank you. Slovak Alliance for Innovation Economy"
LIDER Lab Scuola Superiore Sant'Anna (Italy),"Feedback for the EU Commission Inception Impact Assessment towards a “Proposal for a Regulation of the European Parliament and the Council laying down requirements for Artificial Intelligence” Denise Amram – Giovanni Comandé *LIDER Lab, DIRPOLIS Institute, Scuola Superiore Sant’Anna (Pisa- Italy) Table of contents: 1. Introduction. 2. Selecting Option 4 with option 3.c as a baseline (Option 4+3.c) 3. A combined approach towards AI Regulation...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551050_en,0,F551050,10 September 2020,Denise Amram,Academic/research Institution,LIDER Lab Scuola Superiore Sant'Anna,Large (250 or more),,Italy,Artificial intelligence – ethical and legal requirements,"Feedback for the EU Commission Inception Impact Assessment towards a “Proposal for a Regulation of the European Parliament and the Council laying down requirements for Artificial Intelligence”
Denise Amram – Giovanni Comandé 
*LIDER Lab, DIRPOLIS Institute, Scuola Superiore Sant’Anna (Pisa- Italy)

Table of contents: 1. Introduction. 2. Selecting Option 4 with option 3.c as a baseline (Option 4+3.c) 3. A combined approach towards AI Regulation. 4. A role for the GDPR.

1. Introduction.
This feedback is provided considering the ongoing studies undertaken within the research lines RIGHTS in the classifying society (https://www.lider-lab.sssup.it/lider/rights/) and ETHOS (EThics & law witH and fOr reSearch, https://www.lider-lab.sssup.it/lider/ricerca/linee/ethos-ethics-law-with-and-for-research/) developed within the LIDER Lab research activities (www.lider-lab.eu)  at Scuola Superiore Sant’Anna (SSSA; www.santannapisa.it).
Our remarks focus on two main issues: 1) providing operational tools to link the ethics and the legal dimension of a Trustworthy AI avoiding risks of ethics washing; 2) the role that the EU Regulation 2016/679 (General Data Protection Regulation, hereinafter “GDPR”) may play to achieve the purposes of the EU Strategy on Artificial Intelligence, providing a multilevel legal framework that may include a General Regulation on Artificial Intelligence and specific safeguards both in terms of national and domain legislation, as well as  in terms of soft law. 

Please see the attachment for further details."
Amsterdam AI Technology for People (Netherlands),"The Amsterdam coalition 'AI Technology for People' strongly supports the European Parliament and Council in their efforts to ensure that AI is safe, lawful and in line with EU fundamental rights. The overall goal of stimulating the uptake of trustworthy AI in the EU economy connects closely to the goals of Amsterdam coalition 'AI Technology for People'. The attached document provides a succinct response to the consultation document by 'AI...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551049_en,0,F551049,10 September 2020,Niek Brunsveld,Academic/research Institution,Amsterdam AI Technology for People,Large (250 or more),764189838543-45,Netherlands,Artificial intelligence – ethical and legal requirements,"The Amsterdam coalition 'AI Technology for People' strongly supports the European Parliament and Council in their efforts to ensure that AI is safe, lawful and in line with EU fundamental rights. The overall goal of stimulating the uptake of trustworthy AI in the EU economy connects closely to the goals of Amsterdam coalition 'AI Technology for People'.

The attached document provides a succinct response to the consultation document by 'AI Technology for People'. In it, we explain why, in laying down requirements for AI, 'AI Technology for People' encourages the EP and the Council to ensure that:
• The development, use and regulation of AI go hand in hand, because they are interdependent;
• Regulatory interventions are evidence-based, proportionate, and respond to identified  regulatory gaps pro-actively and without undue delay so they can create legal certainty without stifling innovation;
• Regulatory intervention is based on careful analyses of where actual conflicts between certain uses of AI and fundamental rights emerge or where AI has negative effects for a fair and inclusive society;
• Regulatory interventions should take into account the broader economic-institutional environment and implications for society, and ensure that the way AI is being used and implemented in products and services is fair and complies with fundamental rights;
• There is a fair legal playing field for European vis-à-vis non-European players; 
• Compliance costs are distributed fairly not only between low risk and high-risk AI but also directly related to the size of a company and the institutional dependencies it might create. 

The lead author of the attached document is Prof.Dr. Natali Helberger, University Chair in in Law and Digital Technology at the University of Amsterdam

Partners in the coalition AI technology for people: 
Amsterdam Economic Board, Amsterdam UMC, Antoni van Leeuwenhoek (of which the Netherlands Cancer Institute is part), Centrum Wiskunde & Informatica, Municipality of Amsterdam, Amsterdam University of Applied Sciences, Sanquin, University of Amsterdam, Free University Amsterdam"
"Department of Computer Science, University of Copenhagen (Denmark)","Department of Computer Science (DIKU) at the University of Copenhagen (UCPH) welcomes the opportunity to provide feedback to the European Commission’s (EC) Inception Impact Assessment for a Proposal for a legal act laying down requirements for Artificial Intelligence. EC is proposing four policy options. Below, we provide feedback on each option and some general considerations. Option 1 may likely lead to a lot of confusion about which...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551048_en,0,F551048,10 September 2020,Anders Pall Skött,Academic/research Institution,"Department of Computer Science, University of Copenhagen",Large (250 or more),,Denmark,Artificial intelligence – ethical and legal requirements,"Department of Computer Science (DIKU) at the University of Copenhagen (UCPH) welcomes the opportunity to provide feedback to the European Commission’s (EC) Inception Impact Assessment for a Proposal for a legal act laying down requirements for Artificial Intelligence. 

EC is proposing four policy options. Below, we provide feedback on each option and some general considerations.

Option 1 may likely lead to a lot of confusion about which guidelines and standards to adopt - and to the interpretation of the assessment lists. 

Option 2 seems attractive. However, this will greatly favour large corporations with RA/QA/QMS already in place. SMEs need assistance to be able to enter markets and get this AI quality label. A labelling based on assessment lists alone may provide very little trustworthiness in reality, since it is difficult to assess the quality of the process followed to complete an assessment list.

Option 3, having a legislative instrument establishing mandatory requirements also implies well established means to determine whether the requirements have been fulfilled, which could provide more trustworthiness than option 1 and 2. However, this may become a large burden, particularly for SMEs. There are already ISO standards for quality assured software development, risk assessment, and so on. Possibly, these could be slightly expanded to cover AI concerns instead of adding a separate AI Regulative?

An argument for expanding standards and legislation for general software products and development as opposed to making special legislation for AI is that AI is in itself a poorly defined term with no agreement on definitions among standardisation bodies. A legislation targeting the functioning and use of general software systems would be more robust than a legislation targeting AI applications. 

Regarding option 3 and 4, and in general, a risk-based approach could mitigate the burden to comply with the legislation but of course put demands on the standardisation and legislative framework for risk assessment. 

An argument for expanding standards and legislation for general software products and development as opposed to making special legislation for AI is that AI is in itself a poorly defined term with no agreement on definitions among standardisation bodies. A legislation targeting the functioning and use of general software systems would be more robust than a legislation targeting AI applications."
Clifford Chance LLP (United Kingdom),"Clifford Chance LLP welcomes the opportunity to respond to the European Commission's inception impact assessment on a ""Proposal for a legal act of the European Parliament and the Council laying down requirements for Artificial Intelligence"". Our submissions are (i) made on our own behalf only, and (ii) based on our substantial experience as a global (including European Union) law firm, advising on issues relevant to the consultation for a...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551047_en,0,F551047,10 September 2020,William Hanway,Company/business,Clifford Chance LLP,Large (250 or more),,United Kingdom,Artificial intelligence – ethical and legal requirements,"Clifford Chance LLP welcomes the opportunity to respond to the European Commission's inception impact assessment on a ""Proposal for a legal act of the European Parliament and the Council laying down requirements for Artificial Intelligence"". Our submissions are (i) made on our own behalf only, and (ii) based on our substantial experience as a global (including European Union) law firm, advising on issues relevant to the consultation for a diverse range of clients within and outside of the European Union. The comments below and our submissions do not necessarily represent the views of every Clifford Chance lawyer, nor do they purport to represent the views of our clients. 

Please see the attached PDF for our complete response."
IEEE Standards Association (United States),"The IEEE SA appreciates the opportunity to respond to the Commission’s IIA. As a resource, we suggest our publication, Ethically Aligned Design, First Edition. The law chapter provides commentary about how the law should respond to a number of specific ethical and legal challenges raised by the development and deployment of AIS and the benefits/risks of the incorporation of AIS into a society’s legal system. Please find our comments, by...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F551045_en,0,F551045,10 September 2020,Kristin Little,Business association,IEEE Standards Association,Large (250 or more),,United States,Artificial intelligence – ethical and legal requirements,"The IEEE SA appreciates the opportunity to respond to the Commission’s IIA. As a resource, we suggest our publication, Ethically Aligned Design, First Edition. The law chapter provides commentary about how the law should respond to a number of specific ethical and legal challenges raised by the development and deployment of AIS and the benefits/risks of the incorporation of AIS into a society’s legal system. 

Please find our comments, by section, below.

Context
Care should be taken to prioritize social elements. We recommend language such as, ""the use of AI should prioritize socially and environmentally beneficial outcomes as a means for companies to demonstrate their key competitive focus on long term business sustainability while upholding key EU values.""

We recommend the use of the term “Artificial Intelligence Systems” as used by the OECD and IEEE, as opposed to “Artificial Intelligence.”

Problem the initiative aims to tackle
While material harm may relate to the “safety and health of individuals and their property,” we would suggest that material harm to the natural habitat also be considered.

Another element to consider is data portability. The context of sovereign data should also be discussed.

The Commission recognizes that AI systems can evolve. Such a situation may require a dynamic supervision not static repeated evaluation of conformity. In the event that safety risks materialize, the Commission notes that it could be difficult to determine the person, particular human action, or omission responsible for the damage. IEEE submits that evaluation and potential certification of accountability may address this concern.

Testing is not adequate for trust, nor can an adaptive learning system be tested only once as a basis for continual trust. We posit that a more dynamic environment for trust when it comes to autonomous learning systems is needed.

Objective
Regarding the Commission’s aim of preventing/minimizing significant risks to fundamental rights and safety, we note that some matters of safety and security are protected by existing regulations, and we suggest that ethical risks and the undermining of rights and values be considered.  

Policy option 2
Caution should be exercised for giving a fixed label to an essentially adaptive system, because such a scheme can qualify a product or system partially not wholly.

Policy option 3, sub-option 2
Limiting a legislative instrument to “high-risk” on the basis of two criteria (as set out in the White Paper) one should consider that AI safety is no different to any other class of safety. Safety of products and services is the most extensively addressed and covered facet of the legal system. A gap exists in the values and rights.

Likely economic impacts
Concerning trust, Government's approach to indicating and upholding it should also be transparent and achievable among the multiple stakeholders in order to realize the full economic benefits. 

SMEs may not be able to comply with the regulatory framework mechanisms. Incentives could also be considered.

Likely social impacts
To expect “no direct significant negative social impacts” is perhaps misguided. Ex ante this is not known. The impact on employment can be concerning as jobs lost in specific sectors may not be easily filled by potential new employment opportunities based on vastly different competencies.

Likely impacts on simplification and/or administrative burden
In addition to the downsides of legal fragmentation outlined, another negative impact to note is the free flow of products and services approved by different non-harmonized criteria.

Impact assessment
With respect to the preparation of an impact assessment for December 2020, an objective assessment framework should consider the likelihood as well as the potential outcomes of various scenarios. This amounts to a risk and reward profiling of the technology and can contribute to can contribute to  a better decision support framework."
