Organization,Feedback Content,Feedback Link,Page
Equinet (Belgium),"Equinet welcomes the opportunity to provide comments on the European Commission’s Proposal for a Regulation on Artificial Intelligence (AI) systems. Equinet further wishes to reiterate its support for this legislative initiative as a timely and valuable opportunity to ensure that the EU becomes the global leader in regulating for AI-enabled technologies that protect and advance fundamental rights, societal wellbeing and the environment. ...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665651_en,0
AI Austria (Austria),"AI Austria welcomes the opportunity to comment on the proposed Artificial Intelligence Act. We commend the work of the European Commission in developing a framework for artificial intelligence. In certain areas, we believe there are topics to be clarified and considered, which we seek to bring to your attention. We hope our feedback - submitted as a PDF - contributes to the further refinement of the proposed provisions and the creation of an...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665650_en,0
Digitalcourage e.V. (Germany),"This submission to the AIA consultation is sent on behalf of Digitalcourage e.V, a German NGO that advocates for fundamental rights, privacy and protecting personal data. Digitalcourage is composed of people from a variety of backgrounds who explore technology and politics with a critical mindset, and who want to shape both with a focus on human dignity. Digitalcourage strongly believes that this is an important regulation in respect to the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665649_en,0
UC Berkeley Center for Human-Compatible AI (United States),"The EU AI Act is an important step in the right direction toward developing beneficial AI. We particularly welcome the following elements: - The broad definition of high-risk systems as those potentially impacting health, safety, and fundamental rights, with flexibility to expand - The recognition and prohibition of “powerful tools for manipulative, exploitative and social control practices” - The establishment of a permanent Board for...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665648_en,0
CrowdStrike (United States),"In response to the European Commission’s request for public consultation on Artificial Intelligence, CrowdStrike offers the following views located in the attached pdf. Thank you.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665647_en,0
Fair Trials (United Kingdom),"Fair Trials welcomes the fact that the EU is taking a much-needed legislative approach to regulate and limit the use of artificial intelligence (AI), and that it recognises that the use of AI in law enforcement and criminal justice can have serious implications for fundamental rights. AI systems are used by European law enforcement and criminal justice authorities to predict and profile people’s actions and assess risk, leading to...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665646_en,0
American Property Casualty Insurance Association (United States),Please find attached comments from the American Property Casualty Insurance Association.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665645_en,0
Confederation of Laboratories for AI Research in Europe (CLAIRE) (Belgium),"CLAIRE welcomes the opportunity to provide feedback and supports the European Commission's drive towards a balance between regulation and innovation, where citizens’ rights are well protected, while facilitating investment and innovation. However, we find that the sum of the initiatives, as they are currently planned, does not achieve this balance. We see five major issues: - The proposed regulation shows a problematic focus on a particular...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665643_en,0
University of Cambridge (Netherlands),"Dear European Commission, Please note that this contribution is a personal contribution, and that it does not necessarily reflect the opinion of the institutions I'm employed by. Thank you for the opportunity to respond to the proposed AI Act. I'd like to focus on the risk impact approach taken in the proposed Act. Instead of assigning sectors or specified technical mechanisms as high risk (as currently proposed in the AI Act), it might...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665642_en,0
U.S. Chamber of Commerce (United States),The U.S. Chamber of Commerce welcomes the opportunity to comment on the European Commission’s Artificial Intelligence Act (“Act” or “AI Act). Please find our comments in the attached document.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665641_en,0
